time,vx,vy,vz,yaw
1.482000000,0.027358752358610735,0.006140206241811498,0.026094195062098376,-0.00010341909365966785
1.532000000,0.03259222981825232,0.007271246979428544,0.026954827609948894,-0.00012540270938275072
1.582000000,0.03839719402361487,0.008516638805244052,0.02779155225604049,-0.00014790021291471864
1.632000000,0.04477954355455888,0.009875862340872956,0.028604113415713037,-0.00016955654726144386
1.682000000,0.05173891356946223,0.01134700218377541,0.029392141425907767,-0.0001885571759274156
1.732000000,0.05926830714655822,0.012926696713638247,0.030155119636511955,-0.00020257110419470513
1.782000000,0.06735380327610307,0.014610113862784215,0.030892446348726604,-0.00020871701581116285
1.832000000,0.07597437742387166,0.016390950261755948,0.03160320700653771,-0.00020356121738403858
1.882000000,0.08510183884875781,0.018261450093147964,0.032286187558043467,-0.00018314480463290788
1.932000000,0.09470090139095597,0.02021244547067128,0.03294005497726473,-0.00014303360296037183
1.982000000,0.10472939496641567,0.02223342130485157,0.0335632508161987,-7.837884764224497e-05
2.032000000,0.11513862250017168,0.024312612326843064,0.03415400318725672,1.6022160420902253e-05
2.082000000,0.12587387996468802,0.02643712954447141,0.034710350212814226,0.00014566176559692827
2.132000000,0.13687512196243368,0.028593110537151932,0.03523017540760773,0.0003162460086350209
2.182000000,0.14807776026670394,0.030765898878401022,0.035711254013824856,0.0005336007417594172
2.232000000,0.1594135840781531,0.03294025389018543,0.03615130846863379,0.0008035430401597185
2.282000000,0.17081178075119635,0.035100573993131885,0.03654806925144573,0.0011317128628315696
2.332000000,0.1822000296386241,0.03723112859830325,0.036899336303059485,0.0015233700634772473
2.382000000,0.19350563446349933,0.03931629818896431,0.03720303618838153,0.0019831729681920275
2.432000000,0.2046566667534177,0.041340804243815026,0.03745727032035878,0.0025149629085860934
2.482000000,0.21558309616377064,0.043289931719284,0.037660352008952895,0.0031215754578632748
2.532000000,0.22621785665262023,0.0451497401280822,0.03781083156947924,0.003804693345645099
2.582000000,0.2364978345869065,0.04690725227563303,0.037907511119725394,0.0045647517621501725
2.632000000,0.24636474410607243,0.048550625570588035,0.03794945155536811,0.005400887102564636
2.682000000,0.25576640883763385,0.05006957719788927,0.03793620265350338,0.006310057237999358
2.732000000,0.26465615956829325,0.05145492757745886,0.037867284950573774,0.007289080020803656
2.782000000,0.2729948867178819,0.05269931622044547,0.03774252184869302,0.008334107128260132
2.832000000,0.2807492529816503,0.05379661472857786,0.03756195461200591,0.009439089519251065
2.882000000,0.28789152627344355,0.054741564834628824,0.03732565403122313,0.010596777225423248
2.932000000,0.2944029631672149,0.055531416126248546,0.03703419701361791,0.011798875751005114
2.982000000,0.30027164210820695,0.05616497186726126,0.03668836347996852,0.013036176068223704
3.032000000,0.30549220223175555,0.056642536691173334,0.03628912016497966,0.014298730959741428
3.082000000,0.3100654701641297,0.05696583446611826,0.03583760405280496,0.015576067808559885
3.132000000,0.3139980010243055,0.057137900656702885,0.035335107595090454,0.016857422772330405
3.182000000,0.31730155583591735,0.05716296634595965,0.03478306710053317,0.018131980071089227
3.232000000,0.3199947537082456,0.05704701192977624,0.034183289900460524,0.019389240424510235
3.282000000,0.3220995997621074,0.056796812507909016,0.033537646531650346,0.0206190778978443
3.332000000,0.3236365594265666,0.05641840328193469,0.03284763113809352,0.021811578056118105
3.382000000,0.32462985298570596,0.055918725542802375,0.032114922615462456,0.02295748808426987
3.432000000,0.3251088795581895,0.05530618347335397,0.03134155748067456,0.024048482968660093
3.482000000,0.3251046071692636,0.054589546263177746,0.030529630853156395,0.02507706710284477
3.532000000,0.32464909356132415,0.05377782883377765,0.029681273453665495,0.026036628095576074
3.582000000,0.3237769711390315,0.052880657468603265,0.02879882936999547,0.026921670432808194
3.632000000,0.3225205884670158,0.051907096308392596,0.02788437079698548,0.027727413385067
3.682000000,0.32091034343031233,0.05086558700264104,0.02693976194680366,0.028449878670361067
3.732000000,0.3189787932040807,0.0497650903660029,0.025967054628056072,0.029086263080279205
3.782000000,0.31675769294941825,0.048614303301662616,0.024968233936303146,0.0296346927665808
3.832000000,0.3142777956526276,0.04742160446659027,0.023945213901096135,0.0300941722963581
3.882000000,0.3115686796315265,0.04619500798601369,0.022899836279168837,0.030464510587125057
3.932000000,0.30865861784166476,0.04494212799825431,0.021833871314587916,0.030746234633182008
3.982000000,0.3055744750945466,0.04367014943846289,0.02074902004980315,0.030940497076492282
4.032000000,0.3023416387191435,0.04238580694645787,0.01964691838442876,0.031048984471511287
4.082000000,0.29898398320977637,0.04109537139231253,0.018529143292522168,0.031073831589983534
4.132000000,0.29552489625515627,0.0398047926181354,0.017397354392993915,0.031017687534013388
4.182000000,0.2919849003962402,0.038519356878992536,0.01625300671297101,0.03088331386528145
4.232000000,0.2883820462755155,0.03724371535863317,0.015097426542057514,0.030673614369219955
4.282000000,0.284734331062933,0.03598227764653816,0.013932094616438991,0.030391845635279423
4.332000000,0.28105830945923216,0.03473900422848286,0.01275850596964644,0.030041399704925857
4.382000000,0.2773691649658665,0.0335174294474391,0.011578187322406765,0.029625754411918847
4.432000000,0.27368077527794504,0.03232069398713709,0.010392710894931434,0.029148422072125618
4.482000000,0.27000578880229387,0.03115157255372641,0.009203703259618659,0.028612899294762944
4.532000000,0.26635570433875966,0.030012499679905418,0.008012849771198807,0.028022621498398802
4.582000000,0.262740940642298,0.02890559582727,0.006821895261018047,0.027380926625767625
4.632000000,0.2591709161863652,0.027832693726929397,0.005632641502779748,0.026691028241517915
4.682000000,0.25565447050903684,0.02679534287983103,0.004446968619065468,0.025956081317649156
