time_sec,thruster_0_thrust_N,thruster_1_thrust_N,thruster_2_thrust_N,thruster_3_thrust_N,thruster_4_thrust_N,thruster_5_thrust_N,thruster_6_thrust_N,thruster_7_thrust_N
3.180000,2.613496,2.133159,-2.086304,-2.665907,-0.089104,-0.089104,-0.089104,-0.089104
3.230000,2.355700,1.930192,-1.881429,-2.410226,-0.087867,-0.087867,-0.087867,-0.087867
3.280000,2.123075,1.744468,-1.694046,-2.179479,-0.086701,-0.086701,-0.086701,-0.086701
3.330000,1.916115,1.576963,-1.525213,-1.974067,-0.085644,-0.085644,-0.085644,-0.085644
3.380000,1.730768,1.424736,-1.371996,-1.789942,-0.084709,-0.084709,-0.084709,-0.084709
3.430000,1.567417,1.288645,-1.235279,-1.627460,-0.083919,-0.083919,-0.083919,-0.083919
3.480000,1.424566,1.167891,-1.114241,-1.485147,-0.083286,-0.083286,-0.083286,-0.083286
3.530000,1.300664,1.061571,-1.007939,-1.361493,-0.082817,-0.082817,-0.082817,-0.082817
3.580000,1.194160,0.968723,-0.915360,-1.255003,-0.082514,-0.082514,-0.082514,-0.082514
3.630000,1.103557,0.888364,-0.835462,-1.164236,-0.082377,-0.082377,-0.082377,-0.082377
3.680000,1.027440,0.819524,-0.767214,-1.087839,-0.082401,-0.082401,-0.082401,-0.082401
3.730000,0.964506,0.761269,-0.709624,-1.024564,-0.082581,-0.082581,-0.082581,-0.082581
3.780000,0.913580,0.712724,-0.661763,-0.973291,-0.082909,-0.082909,-0.082909,-0.082909
3.830000,0.873624,0.673090,-0.622784,-0.933025,-0.083379,-0.083379,-0.083379,-0.083379
3.880000,0.843740,0.641653,-0.591932,-0.902907,-0.083983,-0.083983,-0.083983,-0.083983
3.930000,0.823170,0.617789,-0.568550,-0.882209,-0.084711,-0.084711,-0.084711,-0.084711
3.980000,0.811283,0.600970,-0.552083,-0.870325,-0.085556,-0.085546,-0.085546,-0.085546
4.030000,0.807572,0.590757,-0.542073,-0.866764,-0.086511,-0.086502,-0.086502,-0.086502
4.080000,0.811640,0.586803,-0.538158,-0.871140,-0.087568,-0.087561,-0.087561,-0.087561
4.130000,0.823186,0.588842,-0.540064,-0.883160,-0.088720,-0.088715,-0.088715,-0.088715
4.180000,0.841991,0.596683,-0.547596,-0.902606,-0.089964,-0.089960,-0.089960,-0.089960
4.230000,0.867904,0.610201,-0.560629,-0.929326,-0.091293,-0.091289,-0.091289,-0.091289
4.280000,0.900346,0.628999,-0.578779,-0.962724,-0.092689,-0.092687,-0.092687,-0.092687
4.330000,0.940310,0.653777,-0.602727,-1.003815,-0.094182,-0.094180,-0.094180,-0.094180
4.380000,0.987159,0.684135,-0.632093,-1.051939,-0.095750,-0.095749,-0.095749,-0.095749
4.430000,1.040866,0.720110,-0.666924,-1.107057,-0.097393,-0.097392,-0.097392,-0.097392
4.480000,1.101397,0.761749,-0.707276,-1.169124,-0.099109,-0.099108,-0.099108,-0.099108
4.530000,1.168695,0.809098,-0.753206,-1.238072,-0.100899,-0.100899,-0.100899,-0.100899
4.580000,1.242676,0.862191,-0.804762,-1.313800,-0.102763,-0.102763,-0.102763,-0.102763
4.630000,1.323209,0.921041,-0.861969,-1.396164,-0.104702,-0.104701,-0.104701,-0.104701
4.680000,1.410110,0.985626,-0.924822,-1.484964,-0.106716,-0.106715,-0.106715,-0.106715
4.730000,1.503136,1.055884,-0.993274,-1.579937,-0.108806,-0.108806,-0.108806,-0.108806
4.780000,1.601973,1.131705,-1.067231,-1.680752,-0.110973,-0.110973,-0.110973,-0.110973
4.830000,1.706231,1.212916,-1.146541,-1.786997,-0.113218,-0.113217,-0.113217,-0.113217
4.880000,1.814474,1.298485,-1.230207,-1.897198,-0.115519,-0.115519,-0.115519,-0.115519
4.930000,1.928280,1.389861,-1.319662,-2.012947,-0.117923,-0.117901,-0.117901,-0.117901
4.980000,2.045823,1.485685,-1.413589,-2.132373,-0.120402,-0.120385,-0.120385,-0.120385
5.030000,2.166397,1.585511,-1.511567,-2.254746,-0.122954,-0.122940,-0.122940,-0.122940
5.080000,2.289216,1.688814,-1.613094,-2.379253,-0.125575,-0.125565,-0.125565,-0.125565
5.130000,2.413419,1.794993,-1.717593,-2.505010,-0.128263,-0.128254,-0.128254,-0.128254
5.180000,2.538084,1.903378,-1.824416,-2.631067,-0.131010,-0.131003,-0.131003,-0.131003
5.230000,2.662229,2.013230,-1.932851,-2.756420,-0.133809,-0.133804,-0.133804,-0.133804
5.280000,2.784831,2.123753,-2.042122,-2.879134,-0.136629,-0.136624,-0.136624,-0.136624
5.330000,2.904836,2.234100,-2.151405,-3.000094,-0.139510,-0.139507,-0.139507,-0.139507
5.380000,3.021177,2.343386,-2.259831,-3.117109,-0.142412,-0.142410,-0.142410,-0.142410
